,ETF 1 ,ETF 2,ETF 3,ETF 4,ETF 5,ETF 6,ETF 7,ETF 8,ETF 9,ETF 10,ETF 11,ETF 12,ETF 13,ETF 14,ETF 15,ETF 16,ETF 17,ETF 18,ETF 19,ETF 20,ETF 21,ETF 22,ETF 23,ETF 24,ETF 25,ETF 26,ETF 27,ETF 28,ETF 29,ETF 30,ETF 31,ETF 32,ETF 33,ETF 34,ETF 35,ETF 36,ETF 37,ETF 38,ETF 39,ETF 40,ETF 41,ETF 42,ETF 43,ETF 44,ETF 45,ETF 46,ETF 47,ETF 48,ETF 49,ETF 50,ETF 51,ETF 52,ETF 53,ETF 54,ETF 55,ETF 56,ETF 57,ETF 58,ETF 59,ETF 60,ETF 61,ETF 62,ETF 63,ETF 64,ETF 65,ETF 66,ETF 67,ETF 68,ETF 69,ETF 70,ETF 71,ETF 72,ETF 73,ETF 74,ETF 75,ETF 76,ETF 77,ETF 78,ETF 79,ETF 80,ETF 81,ETF 82,ETF 83,ETF 84,ETF 85,ETF 86,ETF 87,ETF 88,ETF 89,ETF 90,ETF 91,ETF 92,ETF 93,ETF 94,ETF 95,ETF 96,ETF 97,ETF 98,ETF 99,ETF 100,ETF 101,ETF 102,ETF 103,ETF 104,ETF 105
Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2019,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
02/01/2019,100.1272056,99.85270302,98.9886692,99.74878267,100.0907524,99.5706268,100.2040903,100.3049257,100.8061037,100.0976579,100.2289903,100.4882253,100.6559855,99.86309933,100.0127135,100.0164726,99.52724334,99.86513763,100.107783,99.99597006,100.5829805,99.74445287,99.85059169,99.86858467,100.20132,100.0737363,99.725362,100.5300827,99.5831014,98.93988016,99.39209411,100.108233,100.1121076,100.0726647,99.90184647,100.1408764,100.1380691,99.29940136,100.317049,99.5521328,99.94895992,99.25795472,100.049251,100.3843232,100.2443974,99.9828318,100.2010615,100.0147995,101.1258283,99.53697772,99.86568167,100.0493922,100.0679138,99.96761964,99.1904199,99.61133234,100.2016368,100.1596706,99.76159234,99.76688618,100.1275286,99.59520079,99.63702076,99.99799318,99.99297851,99.12696443,100.8066345,99.82104295,99.88990999,100.3211304,99.88902637,100.0130959,97.99305651,100.4883127,99.32618262,99.97789999,99.71155827,100.1962152,99.65626914,100.1263958,98.97659939,100.3842734,100.0497431,100.4302245,100,100.2399407,100.2570232,98.64947508,99.76979608,100.6809102,100.2090889,99.9753403,99.96396142,99.81990321,99.12805182,98.60512767,100,99.49214094,100.1167343,100,99.90732023,98.17154921,100.0847691,99.77156177,99.80632825
03/01/2019,97.66662239,98.37941907,98.36487938,98.40672544,99.48225699,97.2223657,100.1123809,100.8952306,98.00508887,100.5194408,100.6522787,97.12757353,99.50120919,98.95583533,100.2248242,97.57132121,98.21392303,98.32480464,97.68938684,100.603092,100.4618551,98.37008552,97.6480925,98.89921999,98.65198622,100.2249786,98.44215911,98.72078873,97.16127623,98.30098068,98.1199601,97.62941009,97.62650806,100.8211757,99.5864106,100.4448728,99.91586557,98.76120729,100.0540491,98.33302286,99.1183076,99.15750253,99.99319258,101.99879,101.1259738,99.97786989,98.6523294,99.9778008,99.26211532,98.19825459,98.95644986,98.13271207,95.02376983,99.16578538,98.61391982,99.14331477,100.109055,97.68897853,98.26030174,98.57800571,100.6811297,97.21710142,98.29134513,99.99698977,99.95683631,97.48008363,98.15105996,98.22628522,97.82586939,100.0702991,98.948089,100.0196439,98.46745355,97.11167211,96.77530253,100.40853,98.34225249,100.101092,98.78904012,97.78437452,98.38663903,101.9987941,97.57394687,98.45605995,100.2902322,100.1706264,100.4784972,96.4758944,98.58206041,101.0239893,100.4120087,98.29848096,99.0941654,98.36657231,98.76681614,98.45014185,100,99.48974914,99.01639288,100.4355724,97.46702581,97.01021401,100.4857038,98.57187257,97.94259423
04/01/2019,101.0198958,101.087119,99.89871,100.9270025,101.6338791,100.7271855,99.80013428,100.0703675,101.2146551,101.099655,100.1460084,101.4813285,102.3216445,101.7563581,99.99811348,100.9816639,100.7769544,100.7974471,101.0637879,100.4144783,100.5925996,100.94578,101.2657261,101.6999209,101.9768793,101.473519,101.3467422,101.2820989,100.6895663,99.8945266,100.4343669,100.9835796,101.0558756,100.511936,99.49750771,101.7350041,102.0187645,100.2491017,99.8052665,100.7606792,101.5651927,99.9490164,99.84973426,99.8737543,100.309861,99.96963313,101.9768045,99.97040107,102.7797351,100.7608981,101.7564705,101.4092079,99.20355621,101.5119083,101.5605065,101.268864,99.79644767,101.0168494,100.9967535,101.4919284,100.2135249,100.8241927,100.3509151,99.99598636,99.90317734,100.1357341,101.3415409,100.6221897,98.72896074,99.7890176,101.7594211,100.0261919,100.20622,101.4646222,99.76622662,100.0978486,101.1241831,99.79063834,101.930029,101.1102249,99.64395979,99.85144774,100.9970123,100.9705651,102.0675357,99.79388814,101.4935526,99.37315258,101.4960341,100.6289236,100.152593,100.8877491,101.5642692,100.9826397,100.4484305,100.8983924,98.40897114,101.3665156,100.6696679,102.1267207,100.9277802,98.31755026,101.0584677,101.4638695,100.9454573
07/01/2019,101.7281944,101.9141587,101.2205917,101.8293413,101.2395525,101.4927138,99.67507978,101.0320563,101.4619184,101.6810159,100.3590859,102.5175222,102.921705,101.5076639,99.97580331,101.7831588,101.5867621,101.5999129,101.8153852,100.4859732,100.8215426,101.8344329,102.0687957,101.5529618,101.7880121,102.2063077,101.0733943,101.6475878,101.4479287,101.2414443,100.8217641,101.6690641,101.8636133,100.5067239,99.79304395,102.1798769,103.3309291,100.6804507,99.68659343,101.587588,101.2386811,101.0647027,99.77357342,102.4259972,100.1440199,99.96913694,101.7885284,99.98520053,103.895271,101.576073,101.5084982,102.4599945,100.0555658,101.2478711,101.7740295,101.9830132,99.65687257,101.7269633,101.8616743,101.4278221,100.1851852,101.6261099,101.0523798,99.99290445,99.88617794,99.75648171,101.650441,101.3918433,101.0167137,99.69273376,101.5748902,100.0458358,101.4434574,102.5006477,101.7429868,100.2801337,102.0275446,99.648898,101.778906,101.8605594,100.9537406,102.4315142,101.5994571,101.4144748,101.4316291,99.64636645,101.9210338,99.78085822,101.4301783,100.1674396,100.0255097,101.5979483,103.3428219,101.8519116,101.640093,101.8164863,101.2411914,101.6288164,101.1872014,101.2652591,101.5501756,99.91041764,101.6403959,101.4794095,101.3793169
08/01/2019,102.71612,102.7663822,100.9688576,102.5326089,101.9933527,102.5615933,99.56585705,100.5824863,102.6262837,101.567878,100.3895518,103.5223362,104.1263603,102.3524185,99.89845592,102.8121815,102.4547146,102.3721168,102.8284579,100.255327,100.8850004,102.5571304,103.0641437,102.4347163,102.3203686,102.71452,101.7829699,102.6768146,102.5118192,101.0006508,102.0772716,102.6440567,102.8697675,100.605043,100.2220152,101.7350041,103.9093417,101.306563,99.56036131,102.2812483,102.0639281,100.547415,99.71938821,102.7001454,99.88216554,99.9648697,102.3204937,100.0073997,104.6189047,102.4283277,102.3505709,103.5586434,100.9569673,102.0181582,102.441968,102.4811544,99.53824013,102.7186016,102.7198186,102.2728597,100.0600997,102.5309552,101.62627,99.99190104,99.87058284,100.9001021,102.8358592,102.1409111,101.8108924,99.55698375,102.4341918,100.0523837,102.0800676,103.5053934,104.1872937,100.1721559,102.8659274,99.54289496,102.5424231,102.8488911,100.5985604,102.6855433,102.7275826,102.4301123,102.521653,99.50093727,101.5651368,100.7262257,102.2740651,100.074782,99.86165002,102.4906293,104.5951626,102.6469206,101.5404418,101.4592309,101.6653852,102.9917443,101.8863982,102.3748324,102.8224757,99.58140974,101.5120968,102.3154623,102.2176366
09/01/2019,103.1601011,103.5887288,102.818269,103.4892079,102.6627986,102.9774789,99.70981942,100.7505864,102.4475195,102.0454654,100.6253041,104.2953713,105.421705,102.8882942,100.0245248,103.2312032,103.3569958,103.1956021,103.2966538,100.5463597,101.2460421,103.5142102,103.3761184,102.9914651,103.1661201,103.1902119,102.3261177,102.873172,102.9049329,102.9608851,102.1728739,103.0476191,103.3500948,100.5931296,100.704823,102.276266,104.9366868,101.7040268,99.75807143,103.1838839,102.7143139,101.8403006,99.79413274,104.2631342,99.8123377,99.96556436,103.1665997,100.0591979,105.2712835,103.3051386,102.8878442,104.2743934,102.2102859,102.6422694,103.6038326,103.2055898,99.67372885,103.1051725,103.5483931,103.0188239,100.0640086,103.0240882,102.3337329,99.99089763,99.8958602,101.7520145,102.7555675,102.8340674,103.8284244,99.76039612,102.9873592,100.0589317,103.6988079,104.2769623,104.6238999,100.4916452,103.6102761,99.68017758,103.1340748,103.3827767,102.5094815,104.3389442,103.2532632,102.6276262,103.2349752,99.59693099,102.0115669,101.0447457,103.0188767,99.76253419,99.89549344,103.1268495,105.7742086,103.5133225,103.2884903,102.9631186,102.8934447,103.1846829,103.4113692,103.0656484,103.0600699,101.5313933,101.9634348,103.0551671,103.0866237
10/01/2019,103.6261463,103.9593732,103.2624962,103.8510595,103.2015881,103.7157375,99.75567411,101.0086005,102.8166273,101.8723185,100.4065671,104.6152992,106.8077388,103.2617489,100.0488855,103.7356766,103.7846955,103.5504482,103.7758277,100.5930276,102.0125319,103.8932935,103.7555816,103.3419059,103.433855,103.1237136,102.5091559,103.147495,103.6206833,103.4027513,103.0347494,103.4992529,103.7882057,100.3977776,100.6652389,102.6173352,105.2016502,102.2483263,99.87419871,103.5278901,102.9601736,102.3860607,99.80167115,103.3604216,99.80797347,99.96169407,103.4343344,100.1035963,105.6061818,103.7293983,103.2598027,104.9322278,102.6795086,102.9180521,104.0747008,103.6905059,99.72206295,103.5463675,103.9352665,103.1703479,100.0058634,103.7430485,102.7140013,99.98989422,99.89149949,101.5845555,103.154424,103.2083547,104.2964542,99.87424411,103.342815,100.0654797,104.271145,104.5968695,104.5895215,100.4723077,103.897133,99.72883471,103.6200391,103.8690629,103.0607418,103.4131914,103.7448606,102.8506748,104.4404612,99.66057805,102.3788007,101.2919172,103.1698206,99.72891507,99.91545099,103.4572894,106.1236367,103.8638296,103.7493772,103.2100452,101.9946609,104.4623032,104.1181641,104.4153895,103.7925021,101.9168198,101.7709861,103.2043512,103.4298285
11/01/2019,103.6110617,103.9316396,103.5043039,103.8489455,102.8345378,103.7909098,99.86116449,100.7779515,103.1957563,101.9340475,100.6907194,104.3064448,107.3412938,103.3258598,100.1357475,103.7253812,103.7724147,103.6062019,103.7615007,100.5851348,102.4826985,103.8987641,103.809063,103.4365815,103.1111203,103.1746303,102.3193445,103.5150465,103.6764648,103.6552142,102.910882,103.493537,103.7853913,100.6853228,100.8366983,102.4912879,105.6480891,102.2547371,99.99859002,103.5431331,102.9907706,102.385122,99.83881498,103.8088559,100.0567351,99.96794608,103.1111019,100.1405949,106.3638595,103.6958966,103.3269618,105.0480591,102.5375069,102.9444342,103.7416283,103.8183475,99.82441377,103.5505694,103.8927597,102.978029,100.1773673,103.8260055,102.8687883,99.98889081,99.90428599,101.0706934,103.5358097,103.3204768,104.4383349,99.99285526,103.41127,100.0720432,104.3932392,104.2881788,104.1976073,100.5371264,103.9293582,99.83521552,103.6575729,103.8520172,103.351422,103.976226,103.4510076,103.2313323,104.7128909,99.74828894,102.3201728,101.6231781,102.9798295,100.0916736,99.98936102,103.491813,106.206915,103.8451742,103.8905497,104.4473048,102.7394909,104.2837154,104.3105339,104.7326755,103.661506,102.2872823,101.8259714,103.010101,103.2443188
