Start Date,01/01/2018,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,SPTR500N Index,XNDX Index,RU20INTR Index,SX5T Index,TUKXG Index,NDUEEGF Index,NKYTR Index,IBOXIG Index,IBOXHY Index,QW5A Index,IBOXXMJA Index,JPEICORE Index,BCOMGCTR Index,BCOMTR Index
,S&P 500,Nasdaq 100,US Small Caps,Euro Stoxx 50,UK FTSE,MSCI EM,Japan ,US IG,US HY,EU IG,EU HY,EM Bond,Gold,Commodity
Dates,,,,,,,,,,,,,,
01/01/2018,4672.65,7256.87,7554.1651,7048.52,6519.85,521.047,35413.76,282.4644,269.1327,226.521,192.4179,551.774,323.6981,179.9572
02/01/2018,4711.6,7387.98,7625.7417,7020.8,6486.2,530.304,35413.76,280.7632,269.4638,226.4472,192.5863,551.634,325.4313,180.4815
03/01/2018,4741.75,7461.12,7638.4702,7060.42,6505.71,533.125,35413.76,281.4011,270.2244,226.6925,192.8904,552.93,326.0377,180.8937
04/01/2018,4761.55,7472.49,7654.2279,7179.11,6527.28,536.88,36567.09,281.2786,270.9258,226.7588,193.1619,554.02,326.8173,180.8199
05/01/2018,4795.03,7550.47,7675.4522,7257.05,6551.31,540.695,36890.97,280.8513,271.2983,226.9667,193.2546,554.859,327.0035,179.4927
08/01/2018,4803.06,7576.96,7684.3843,7274.8,6527.81,543.347,36890.97,280.9684,271.4449,227.1796,193.2549,554.559,326.5728,179.0567
09/01/2018,4810.32,7578.54,7676.1969,7287.71,6557.08,542.569,37101.7,279.8825,271.3738,226.9454,193.2884,553.424,324.9299,179.8963
10/01/2018,4804.99,7561.2,7674.8454,7261.48,6571.92,539.165,37005.58,280.2407,270.6107,226.7514,193.0749,551.377,326.3259,180.1904
11/01/2018,4839.06,7613.22,7808.2013,7234.05,6584.16,538.932,36884.6,280.9619,270.8157,226.1612,192.8738,551.377,327.1286,180.3337
12/01/2018,4871.73,7670.01,7833.8168,7269.01,6597.47,543.959,36796.54,280.9701,270.8807,226.1086,192.8908,552.501,330.2198,181.261
15/01/2018,4871.73,7670.01,7833.8168,7267.4,6589.41,545.072,36891.53,280.9701,271.0161,226.2451,193.0201,552.501,330.2198,181.261
16/01/2018,4854.62,7645.72,7740.4111,7287.91,6578.21,548.326,37260.1,281.2668,271.109,226.5028,193.1331,553.646,330.8146,180.6652
17/01/2018,4900.32,7728.74,7807.8472,7269.35,6552.34,550.466,37130.25,280.444,270.964,226.5949,193.1175,553.622,331.3208,181.3781
18/01/2018,4892.7,7729.98,7759.1505,7285.7,6534.15,552.679,36966.96,279.6038,270.6349,226.5193,193.1438,552.841,328.3757,181.1773
19/01/2018,4914.25,7756.02,7862.0315,7342.37,6559.46,554.968,37036.48,278.9245,270.4478,226.7137,193.1534,551.139,329.868,180.8743
22/01/2018,4953.94,7837.68,7899.1752,7376.78,6546.43,557.638,37049.35,278.4372,270.5472,226.9044,193.2206,551.044,329.6361,181.4407
23/01/2018,4964.85,7902.57,7926.4406,7390.88,6560.34,563.891,37528.2,279.2067,270.9513,227.0248,193.3331,551.941,330.8328,182.1574
24/01/2018,4962.07,7852.51,7871.8636,7332.38,6485.33,566.759,37242.94,278.7994,271.0921,226.8504,193.3911,551.222,335.7035,184.8365
25/01/2018,4965.07,7849.05,7882.0948,7306.06,6461.92,568.879,36820.91,280.1947,271.1506,226.5082,193.2396,552.514,337.3444,184.8334
26/01/2018,5023.92,7970.11,7913.8766,7340.8,6504.1,573.228,36762.4,279.6953,271.2208,226.3338,193.2086,552.948,334.6945,185.5373
29/01/2018,4990.31,7930.78,7864.9492,7332.01,6509.18,570.937,36761.16,279.302,270.8957,225.7778,193.0982,550.834,331.7506,185.2076
30/01/2018,4936.16,7866.13,7790.0083,7261.26,6438.29,561.776,36236.3,278.4855,270.1155,225.8996,192.7292,550.148,330.5059,184.5091
31/01/2018,4938.67,7888.24,7751.5876,7266.37,6392.1,564.918,35934.98,279.0706,270.3475,225.9021,192.7594,551.188,331.2836,183.531
01/02/2018,4936.13,7833.21,7775.8514,7208.85,6355.48,562.344,36538.33,278.0729,270.0018,225.9439,192.7405,550.764,332.4807,183.6725
02/02/2018,4831.66,7672.93,7615.9175,7099.9,6315.63,554.338,36209.17,276.416,268.8675,225.5515,192.4245,547.747,329.8792,182.1581
05/02/2018,4633.68,7372.92,7339.5578,7010.22,6223.62,544.658,35287.58,277.1499,268.2712,225.6879,192.2379,545.543,329.7211,180.9374
06/02/2018,4714.85,7567.47,7418.8929,6841.23,6059.37,529.736,33620.07,276.8219,267.274,225.9063,191.8647,544.8,328.0079,180.2373
07/02/2018,4691.35,7472.58,7423.0902,6961.35,6176.48,528.497,33674.72,275.6974,268.1554,225.7094,192.1363,545.408,324.3456,178.1611
08/02/2018,4515.73,7159.35,7206.2254,6805.74,6084.58,523.885,34056.64,275.0507,266.8074,225.3013,192.0929,540.917,325.4447,177.8837
09/02/2018,4584.21,7283.56,7275.5404,6702.34,6018.18,514.777,33265.95,274.111,264.6755,225.2336,191.3861,535.776,324.6441,175.1015
12/02/2018,4648.11,7409.92,7340.3273,6787.5,6089.98,519.589,33265.95,273.8161,265.6973,225.2511,191.4375,536.306,327.3249,176.5168
13/02/2018,4660.44,7444.01,7360.4257,6732.44,6082.3,524.599,33051.35,273.1006,265.022,225.0748,190.9182,535.33,328.3263,177.4725
14/02/2018,4723.83,7586.33,7495.1962,6790.68,6122.14,533.989,32910.54,272.1564,265.0069,224.9227,190.7576,533.207,335.152,179.9445
15/02/2018,4781.65,7722.81,7570.2151,6832,6159.82,541.79,33394.08,273.3141,266.364,224.9714,191.1545,535.561,334.5003,180.4498
16/02/2018,4783.73,7695.24,7601.902,6906.92,6210.82,540.69,33791.22,273.6424,267.4259,225.4857,191.5566,538.751,334.737,180.3895
19/02/2018,4783.73,7695.24,7601.902,6868.61,6170.76,541.284,34458.57,273.6424,267.5611,225.37,191.7402,538.751,334.737,180.3895
20/02/2018,4756.02,7705.69,7535.1711,6923.62,6170,538.352,34109.91,273.3909,267.7733,225.3981,191.5957,537.626,328.6251,180.0103
21/02/2018,4729.94,7682.79,7544.4476,6913.7,6199.63,545.182,34181.02,272.2039,267.7204,225.4253,191.5737,536.98,328.8621,180.5722
22/02/2018,4734.83,7685.98,7535.8292,6917.38,6192.53,541.257,33816.4,272.8509,267.3008,225.4685,191.4015,537.015,329.0252,181.385
23/02/2018,4810.93,7839.14,7630.693,6936.47,6185.71,548.345,34059.63,273.5062,267.1525,225.7496,191.2962,537.791,328.4476,181.4437
26/02/2018,4867.9,7944.28,7680.723,6980.25,6224.28,550.472,34484.4,273.8072,268.0055,225.8635,191.4367,539.603,329.1095,182.1801
27/02/2018,4806.53,7844.24,7568.6479,6969.86,6218.19,546.55,34852.12,272.8448,268.0034,225.6898,191.5453,539.807,325.6182,181.2693
28/02/2018,4753.55,7792.34,7451.4333,6931.43,6175.04,538.864,34351.49,273.2947,267.8392,225.8707,191.5921,538.995,325.4602,180.3569
01/03/2018,4690.73,7674.25,7426.989,6851.21,6134.18,537.557,33816.38,273.5307,267.3074,225.8699,191.5722,538.406,322.3388,180.4919
02/03/2018,4714.82,7743.02,7554.6478,6701.24,6043.79,532.98,32971.41,272.4493,266.4842,225.7183,191.4214,537.641,326.8484,180.3873
05/03/2018,4766.86,7822.88,7618.21,6762.84,6083.19,530.357,32754.19,272.0749,266.9437,225.6442,191.317,537.853,326.0288,181.5468
06/03/2018,4779.61,7859.04,7698.1623,6767.98,6109.49,538.464,33338.96,272.698,267.5648,225.3528,191.5301,538.862,329.8232,182.1788
07/03/2018,4777.53,7877.68,7759.1679,6807.28,6118.97,536.412,33082.06,272.2222,267.3094,225.4515,191.5865,537.764,327.961,180.2018
08/03/2018,4799.76,7921.07,7747.4659,6880.65,6164.96,539.154,33261.61,272.6152,267.3701,225.7743,191.7303,538.273,326.5249,179.2911
09/03/2018,4883.25,8074.29,7872.1708,6895.28,6183.17,544.569,33419.03,271.9456,267.5694,225.739,191.8633,538.45,327.1072,180.0501
12/03/2018,4877.05,8108.33,7891.5359,6913.3,6174.82,551.344,33971.36,272.1422,267.6649,226.0236,192.1565,538.699,326.3641,179.4846
13/03/2018,4846.21,8012.46,7847.5435,6848.54,6109.79,552.111,34195.62,272.2193,267.4946,226.0415,192.1166,538.397,327.9304,179.924
14/03/2018,4819.41,8006.17,7811.0902,6835.69,6104.59,549.847,33898.6,272.7721,267.1978,226.0381,191.9707,538.836,327.552,179.5169
15/03/2018,4815.85,7995.53,7773.7228,6882.37,6112.3,548.753,33940.1,272.4803,266.9376,225.6858,191.8227,538.994,325.6237,178.7946
16/03/2018,4824.17,7983.08,7820.8429,6929.26,6133.17,547.381,33741.73,272.4194,266.999,225.6495,191.8895,538.765,324.2857,178.8978
19/03/2018,4755.67,7806.74,7744.8177,6846.58,6029.4,543.066,33437.24,272.4365,266.6333,225.3506,191.8112,537.182,325.6595,177.2038
20/03/2018,4762.78,7830.84,7744.1422,6881.46,6045.1,545.988,33281.69,271.5288,266.4961,225.142,191.587,535.916,324.2484,177.6201
21/03/2018,4754.35,7794.64,7788.3795,6859.18,6026.01,545.884,33281.69,270.8987,266.5864,225.0685,191.6034,536.057,326.6515,179.0364
22/03/2018,4634.85,7599.93,7613.9227,6752.6,5957.27,540.108,33610.16,271.6318,266.2967,225.5591,191.4107,536.829,328.1197,178.4163
23/03/2018,4537.7,7401.84,7447.4833,6651.51,5931.01,529.007,32094.06,271.3227,266.0533,225.2738,191.174,535.386,333.6736,179.1187
26/03/2018,4660.94,7681.34,7613.5656,6612.48,5902.52,533.618,32325.96,271.4798,266.0681,225.254,191.2278,535.891,335.003,178.7583
27/03/2018,4580.42,7426.58,7464.9729,6690.72,5998.01,535.014,33184.03,272.8665,266.3611,225.5267,191.3548,538.132,331.8193,178.7782
28/03/2018,4567.6,7348.83,7466.1776,6719.55,6036.23,524.906,32986.26,273.037,266.1532,225.4896,191.2861,538.814,327.4291,177.772
29/03/2018,4630.64,7485.68,7547.8079,6780.57,6049.76,528.12,33186.85,274.21,266.3458,225.6042,191.3364,540.673,326.7804,179.236
30/03/2018,4630.64,7485.68,7547.8079,6780.57,6049.76,528.845,33650.39,274.21,266.3458,225.6042,191.3364,540.673,326.7804,179.236
02/04/2018,4527.24,7269.23,7366.1185,6780.57,6049.76,528.24,33547.31,274.2018,266.0557,225.6042,191.3735,540.381,331.67,177.9594
03/04/2018,4584.48,7347.45,7463.2031,6751.18,6027.34,528.583,33396.28,273.3343,266.0775,225.4968,191.3063,540.94,329.3221,178.3282
04/04/2018,4637.74,7464.19,7559.6619,6737.92,6030.39,522.103,33439.04,273.3285,266.2378,225.5889,191.2877,541.064,330.0522,177.5444
05/04/2018,4670.04,7503.77,7615.4363,6918.64,6178.7,527.013,33950.16,273.0398,267.2294,225.4322,191.4278,542.287,327.1868,178.6882
06/04/2018,4567.74,7319.87,7469.2948,6884.79,6165.08,524.978,33827.98,274.3898,267.3812,225.7373,191.5513,543.048,329.0744,178.2098
09/04/2018,4583.93,7364.49,7475.3273,6898.42,6174.62,525.475,34001.67,274.4567,267.7229,225.6536,191.6917,541.627,330.1074,180.4403
10/04/2018,4660.7,7527.8,7618.45,6946.77,6236.41,531.026,34183.71,274.6328,268.5174,225.5187,191.8551,540.824,331.5519,182.0622
11/04/2018,4635.1,7490.9,7635.1274,6908.25,6228.17,531.228,34015.54,274.7242,268.7773,225.804,192.0348,540.996,335.0411,182.9906
12/04/2018,4673.73,7573.75,7687.6629,6957.26,6232.86,531.842,33973.47,274.0911,269.3059,225.7764,192.2545,541.243,330.5981,182.6828
13/04/2018,4660.3,7541.99,7649.2336,6967.27,6238.2,528.821,34160.73,274.2382,269.9532,225.9662,192.5854,541.396,332.0921,183.0637
16/04/2018,4698.18,7595.28,7715.9973,6955.33,6181.22,525.732,34249.81,274.3747,270.3282,225.9747,192.717,540.15,332.8295,182.5931
17/04/2018,4748.26,7755.93,7798.7864,7031.78,6205.14,526.302,34268.73,274.7928,270.8358,226.1898,192.8781,539.768,332.5501,182.5647
18/04/2018,4752.22,7775.1,7817.3471,7058.03,6283.52,531.648,34755.93,273.3214,270.9369,225.9172,192.833,540.224,333.5521,185.5284
19/04/2018,4725.41,7708.73,7769.4451,7049.35,6301.9,535.259,34807.66,271.8199,269.8938,225.3527,192.5685,538.288,332.4102,184.5403
20/04/2018,4685.24,7586.83,7721.8525,7065.68,6335.65,528.099,34762.27,271.0179,269.5004,225.3406,192.523,536.686,329.8388,184.302
23/04/2018,4685.5,7565.27,7711.9761,7103.81,6362.05,523.594,34645.88,270.7147,268.9379,225.1225,192.5045,534.663,326.3629,182.9859
24/04/2018,4622.88,7406.36,7668.4044,7101.43,6384.86,521.809,34944.03,270.197,268.4648,225.1196,192.5444,534.622,328.598,182.761
25/04/2018,4631.37,7411.93,7654.5717,7059.99,6345.24,515.511,34845.53,268.9892,267.6667,225.0454,192.3602,532.011,326.1003,183.1139
26/04/2018,4679.71,7566.35,7691.3598,7104.52,6387.89,517.356,35009.11,269.8292,268.1569,225.3736,192.2882,532.28,324.909,183.4356
27/04/2018,4685.11,7574.1,7683.8268,7135.21,6457.42,522.779,35241.8,270.6272,268.3246,225.6209,192.3654,532.118,326.2815,183.4092
30/04/2018,4646.86,7516.39,7613.0615,7174.28,6463.52,526.505,35241.8,270.8782,268.403,225.6913,192.4424,531.574,325.2959,183.8683
01/05/2018,4658.72,7603.31,7655.0141,7173.75,6473.04,525.642,35304.79,269.5521,268.0945,225.6913,192.4182,529.728,322.2548,183.414
02/05/2018,4625.15,7560.66,7677.7806,7211.87,6492.7,520.729,35249.5,269.7032,268.416,225.5832,192.3996,526.594,321.9754,183.6842
03/05/2018,4615.07,7559.55,7636.7946,7168.73,6460.82,514.615,35249.5,269.8058,268.1397,225.855,192.3532,524.899,323.7427,184.0581
04/05/2018,4674.79,7704.52,7731.3703,7216.45,6516.32,513.907,35249.5,269.6869,268.2928,225.6421,192.2152,524.599,324.2525,184.7199
07/05/2018,4691.01,7764.62,7797.4138,7252.26,6516.32,515.47,35240.68,269.7527,268.6581,225.7846,192.2779,524.22,324.1543,184.4055
